service,year,quarter,tiles,tests,devices,pop_weight,area_km2,d_mean_tile,d_median_tile,d_mean_pop,d_median_pop,d_p10_pop,d_p90_pop,u_median_pop,lat_median_pop,pct_above_bb,pct_above_hi,divide_ratio,period
fixed,2025,3,860.0,6802.0,2572.0,1589439.2312927246,321.2099204399764,50.954748837209294,39.427,53.08589520337079,45.36146673709327,8.915192396456707,98.6198505163047,12.620011636176914,11.0,88.92678745052011,76.77817822108513,11.061999128083944,2025 Q3
mobile,2025,3,730.0,4354.0,1279.0,1354327.7607040405,272.6501689615248,33.479668493150676,19.442999999999998,40.02586479452301,25.153362177330795,4.867896067552583,83.39431591785471,11.573271992634153,20.0,79.45369940793282,50.455528534231355,17.131490640017425,2025 Q3
fixed,2025,4,825.0,6328.0,2454.0,1595089.6121485233,308.13202679933477,55.33471151515152,41.825,57.494817523934294,46.871768011062244,11.731192490589116,108.42096877222811,12.84614194829818,10.0,91.91934462734453,78.99706757646152,9.242109773512329,2025 Q4
mobile,2025,4,741.0,3739.0,1291.0,1445425.7192687988,276.75362924099096,37.5759689608637,24.516,39.90861220666149,27.383754652732247,5.701157899895535,81.89910159710729,12.26757927417398,21.0,81.08097958852555,54.19876545066877,14.36534525707628,2025 Q4
fixed,2026,1,812.0,7112.0,2390.0,1552728.2753982544,303.2638052334614,60.6457290640394,42.8065,56.21804315844674,45.795311375965845,13.374609656314743,101.7741199021471,13.674478432407282,11.0,91.95310325804506,80.16746275965163,7.609502072764797,2026 Q1
mobile,2026,1,690.0,3407.0,1153.0,1337850.7412261963,257.694216113869,38.118413043478256,25.848,43.994672890217245,28.067582678205092,5.378954118402764,102.09845255800433,10.709881624741,20.0,82.66446125422114,54.69286462839303,18.981097497875965,2026 Q1
fixed,2026,2,1054.0,8020.0,2598.0,1620196.383605957,393.6481642067412,51.0522220113852,34.045500000000004,55.96212203393747,43.26418911266858,8.645515729750954,112.52604963439012,13.166,13.0,87.86080278198001,72.60603704983795,13.015539286703904,2026 Q2
mobile,2026,2,935.0,5253.0,1454.0,1526867.7777023315,349.1988041647729,36.7109614973262,23.748,39.961281671000265,27.032781480494926,5.274014668837363,84.21718688294384,9.233449155023914,20.0,80.8682631245663,52.777874694066774,15.96832625069456,2026 Q2
